"filename", "language", "XML", "JSON", "Markdown", "C#", "HTTP", "JavaScript", "Properties", "JavaScript JSX", "PostCSS", "Dotenv", "HTML", "log", "comment", "blank", "total"
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Commands\UploadGroupCoverPhoto\UploadGroupCoverPhotoCommandHandler.cs", "C#", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 60
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Queries\GetGroupJoinRequests\GetGroupJoinRequestsQuery.cs", "C#", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Queries\GetGroupJoinRequests\GetGroupJoinRequestsQueryHandler.cs", "C#", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 66
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Queries\GetGroupMembers\GetGroupMembersQuery.cs", "C#", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Queries\GetGroupMembers\GetGroupMembersQueryHandler.cs", "C#", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 60
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Queries\GetGroupRules\GetGroupRulesQuery.cs", "C#", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Queries\GetGroupRules\GetGroupRulesQueryHandler.cs", "C#", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 39
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Queries\GetReportedContents\GetReportedContentsQuery.cs", "C#", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Queries\GetReportedContents\GetReportedContentsQueryHandler.cs", "C#", 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 79
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Messages\Commands\ForwardMessage\ForwardMessageCommand.cs", "C#", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Messages\Commands\ForwardMessage\ForwardMessageCommandHandler.cs", "C#", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 70
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Messages\Commands\InvokeMessage\InvokeMessageCommand.cs", "C#", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Messages\Commands\InvokeMessage\InvokeMessageCommandHandler.cs", "C#", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 46
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Messages\Commands\SendMessage\SendMessageCommand.cs", "C#", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Messages\Commands\SendMessage\SendMessageCommandHandler.cs", "C#", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 7, 12, 73
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Messages\Commands\UpdateMessage\UpdateMessageCommand.cs", "C#", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Messages\Commands\UpdateMessage\UpdateMessageCommandHandler.cs", "C#", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 48
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Messages\Queries\GetMessagesAround\GetMessagesAroundQuery.cs", "C#", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Messages\Queries\GetMessagesAround\GetMessagesAroundQueryHandler.cs", "C#", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 50
