"filename", "language", "C#", "JavaScript JSX", "JavaScript", "JSON", "PostCSS", "comment", "blank", "total"
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Migrations\20260529071128_updb16.cs", "C#", 106, 0, 0, 0, 0, 3, 12, 121
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Migrations\20260531055803_AddGroupJoinApprovalSettingAndReportedGroupContent.Designer.cs", "C#", 1364, 0, 0, 0, 0, 2, 554, 1920
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Migrations\20260531055803_AddGroupJoinApprovalSettingAndReportedGroupContent.cs", "C#", 156, 0, 0, 0, 0, 3, 21, 180
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Migrations\20260531065118_AddGroupPostHiddenFields.Designer.cs", "C#", 1373, 0, 0, 0, 0, 2, 557, 1932
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Migrations\20260531065118_AddGroupPostHiddenFields.cs", "C#", 41, 0, 0, 0, 0, 3, 8, 52
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Migrations\20260531094629_updb17.Designer.cs", "C#", 1373, 0, 0, 0, 0, 2, 557, 1932
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Migrations\20260531094629_updb17.cs", "C#", 14, 0, 0, 0, 0, 3, 6, 23
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Migrations\AppDbContextModelSnapshot.cs", "C#", 87, 0, 0, 0, 0, 0, 27, 114
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Persistence\Configurations\GroupConfiguration.cs", "C#", 19, 0, 0, 0, 0, 2, 6, 27
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Persistence\Configurations\GroupJoinRequestConfiguration.cs", "C#", 24, 0, 0, 0, 0, 4, 7, 35
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Persistence\Configurations\GroupRequestConfiguration.cs", "C#", -24, 0, 0, 0, 0, -4, -7, -35
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Persistence\Configurations\GroupRuleConfiguration.cs", "C#", 28, 0, 0, 0, 0, 1, 8, 37
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Persistence\Configurations\InterestGroupScoreConfiguration.cs", "C#", -29, 0, 0, 0, 0, 0, -9, -38
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Persistence\Configurations\InterestRelationshipScoreConfiguration.cs", "C#", -29, 0, 0, 0, 0, 0, -9, -38
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Persistence\Configurations\PostCommentConfiguration.cs", "C#", 6, 0, 0, 0, 0, 1, 2, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Persistence\Configurations\PostConfiguration.cs", "C#", 11, 0, 0, 0, 0, 1, 4, 16
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Persistence\Configurations\ReactionConfiguration.cs", "C#", 31, 0, 0, 0, 0, -7, 7, 31
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Persistence\Configurations\ReportedGroupContentConfiguration.cs", "C#", 54, 0, 0, 0, 0, 12, 18, 84
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Persistence\Configurations\UserConfiguration.cs", "C#", -6, 0, 0, 0, 0, 0, -2, -8
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Persistence\Contexts\AppDbContext.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 2
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Persistence\Repositories\FeedRepository.cs", "C#", 97, 0, 0, 0, 0, 0, 12, 109
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Persistence\Repositories\GroupReportRepository.cs", "C#", 54, 0, 0, 0, 0, 0, 10, 64
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Persistence\Repositories\GroupRepository.cs", "C#", 61, 0, 0, 0, 0, 0, 9, 70
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Persistence\Repositories\PostRepository.cs", "C#", 142, 0, 0, 0, 0, 0, 28, 170
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Services\FeedGenerator.cs", "C#", -52, 0, 0, 0, 0, 0, -12, -64
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\obj\Debug\net10.0\Infrastructure.AssemblyInfo.cs", "C#", 0, 0, 0, 0, 0, -1, 0, -1
"d:\SocialNetworkApp\SocialNetworkApp\src\Presentation\Contracts\Group\CreateGroupRuleRequest.cs", "C#", 4, 0, 0, 0, 0, 0, 1, 5
"d:\SocialNetworkApp\SocialNetworkApp\src\Presentation\Contracts\Group\ExecuteReportedContentRequest.cs", "C#", 8, 0, 0, 0, 0, 0, 1, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\Presentation\Contracts\Group\ReportGroupPostRequest.cs", "C#", 8, 0, 0, 0, 0, 0, 1, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\Presentation\Contracts\Group\ReviewGroupJoinRequest.cs", "C#", 4, 0, 0, 0, 0, 0, 1, 5
"d:\SocialNetworkApp\SocialNetworkApp\src\Presentation\Contracts\Group\ReviewGroupPostRequest.cs", "C#", 4, 0, 0, 0, 0, 0, 1, 5
"d:\SocialNetworkApp\SocialNetworkApp\src\Presentation\Contracts\Group\UpdateGroupRequest.cs", "C#", 13, 0, 0, 0, 0, 0, 1, 14
"d:\SocialNetworkApp\SocialNetworkApp\src\Presentation\Contracts\Group\UpdateGroupRuleRequest.cs", "C#", 4, 0, 0, 0, 0, 0, 1, 5
"d:\SocialNetworkApp\SocialNetworkApp\src\Presentation\Contracts\Post\CreateCommentRequest.cs", "C#", 9, 0, 0, 0, 0, 0, 2, 11
"d:\SocialNetworkApp\SocialNetworkApp\src\Presentation\Contracts\Post\ReactToCommentRequest.cs", "C#", 7, 0, 0, 0, 0, 0, 2, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\Presentation\Contracts\Post\ReactToPostRequest.cs", "C#", 7, 0, 0, 0, 0, 0, 2, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\Presentation\Controllers\FeedController.cs", "C#", -70, 0, 0, 0, 0, 0, -14, -84
"d:\SocialNetworkApp\SocialNetworkApp\src\Presentation\Controllers\GroupController.cs", "C#", 265, 0, 0, 0, 0, 0, 48, 313
"d:\SocialNetworkApp\SocialNetworkApp\src\Presentation\Controllers\PostController.cs", "C#", 205, 0, 0, 0, 0, 0, 37, 242
"d:\SocialNetworkApp\SocialNetworkApp\src\Presentation\obj\Debug\net10.0\Presentation.AssemblyInfo.cs", "C#", 0, 0, 0, 0, 0, -1, 0, -1
"d:\SocialNetworkApp\SocialNetworkApp\src\ReactWeb\package-lock.json", "JSON", 0, 0, 0, 60, 0, 0, 0, 60
"d:\SocialNetworkApp\SocialNetworkApp\src\ReactWeb\package.json", "JSON", 0, 0, 0, 3, 0, 0, 0, 3
"d:\SocialNetworkApp\SocialNetworkApp\src\ReactWeb\src\App.css", "PostCSS", 0, 0, 0, 0, 6, 0, -1, 5
"d:\SocialNetworkApp\SocialNetworkApp\src\ReactWeb\src\App.jsx", "JavaScript JSX", 0, 11, 0, 0, 0, 0, 0, 11
"d:\SocialNetworkApp\SocialNetworkApp\src\ReactWeb\src\apis\feedApi.js", "JavaScript", 0, 0, -17, 0, 0, -9, -6, -32
"d:\SocialNetworkApp\SocialNetworkApp\src\ReactWeb\src\apis\friendApi.js", "JavaScript", 0, 0, -12, 0, 0, -12, -3, -27
"d:\SocialNetworkApp\SocialNetworkApp\src\ReactWeb\src\apis\groupApi.js", "JavaScript", 0, 0, 82, 0, 0, 44, 12, 138
