"filename", "language", "C#", "JSON", "JavaScript JSX", "JavaScript", "PostCSS", "Dotenv", "comment", "blank", "total"
"d:\SocialNetworkApp\SocialNetworkApp\src\Domain\Entities\Reel.cs", "C#", 71, 0, 0, 0, 0, 0, 0, 11, 82
"d:\SocialNetworkApp\SocialNetworkApp\src\Domain\Entities\ReelComment.cs", "C#", 43, 0, 0, 0, 0, 0, 0, 9, 52
"d:\SocialNetworkApp\SocialNetworkApp\src\Domain\Entities\ReelReaction.cs", "C#", 18, 0, 0, 0, 0, 0, 0, 5, 23
"d:\SocialNetworkApp\SocialNetworkApp\src\Domain\Entities\Story.cs", "C#", 50, 0, 0, 0, 0, 0, 0, 9, 59
"d:\SocialNetworkApp\SocialNetworkApp\src\Domain\Entities\StoryReaction.cs", "C#", 16, 0, 0, 0, 0, 0, 0, 6, 22
"d:\SocialNetworkApp\SocialNetworkApp\src\Domain\Entities\StorySeen.cs", "C#", 22, 0, 0, 0, 0, 0, 0, 7, 29
"d:\SocialNetworkApp\SocialNetworkApp\src\Domain\Entities\User.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 0, 12
"d:\SocialNetworkApp\SocialNetworkApp\src\Domain\Enums\FriendRequestStatus.cs", "C#", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\SocialNetworkApp\SocialNetworkApp\src\Domain\Enums\PostApprovalStatus.cs", "C#", -1, 0, 0, 0, 0, 0, -1, -1, -3
"d:\SocialNetworkApp\SocialNetworkApp\src\Domain\Enums\ReelVisibility.cs", "C#", 9, 0, 0, 0, 0, 0, 0, 1, 10
"d:\SocialNetworkApp\SocialNetworkApp\src\Domain\Enums\StoryMediaType.cs", "C#", 6, 0, 0, 0, 0, 0, 0, 2, 8
"d:\SocialNetworkApp\SocialNetworkApp\src\Domain\Events\UnfriendedDomainEvent.cs", "C#", 10, 0, 0, 0, 0, 0, 0, 2, 12
"d:\SocialNetworkApp\SocialNetworkApp\src\Domain\obj\Debug\net10.0\Domain.AssemblyInfo.cs", "C#", 0, 0, 0, 0, 0, 0, 1, 0, 1
"d:\SocialNetworkApp\SocialNetworkApp\src\Domain\obj\Domain.csproj.nuget.dgspec.json", "JSON", 0, 2, 0, 0, 0, 0, 0, 0, 2
