"filename", "language", "Markdown", "JSON", "HTTP", "C#", "XML", "JavaScript", "PostCSS", "Properties", "JavaScript JSX", "log", "HTML", "ASP.NET Razor", "Dotenv", "comment", "blank", "total"
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Groups\ReportedGroupContentDto.cs", "C#", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Messages\AttachmentDto.cs", "C#", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Messages\MessageDto.cs", "C#", 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 76
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Messages\MessageReactionDto.cs", "C#", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Messages\MessagesAroundDto.cs", "C#", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Notifications\NotificationDto.cs", "C#", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Posts\PostCommentDto.cs", "C#", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Posts\PostDto.cs", "C#", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 36
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Posts\PostMediaDto.cs", "C#", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Posts\PostMediaItemDto.cs", "C#", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Posts\ReactionCountDto.cs", "C#", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Posts\SavedPostDto.cs", "C#", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Posts\TagDto.cs", "C#", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Reels\ReelCommentDto.cs", "C#", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Reels\ReelDto.cs", "C#", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Schools\SchoolResponse.cs", "C#", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Search\GlobalSearchResponse.cs", "C#", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Search\SearchGroupDto.cs", "C#", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Search\SearchPostDto.cs", "C#", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Search\SearchReelDto.cs", "C#", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Search\SearchUserDto.cs", "C#", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Stories\StoryDto.cs", "C#", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Stories\StoryTimelineUserDto.cs", "C#", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Stories\StoryTimelineUserPageItem.cs", "C#", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Users\BirthdayDto.cs", "C#", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Users\PersonalInfoResponse.cs", "C#", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 28
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Users\TaggableUserDto.cs", "C#", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Users\UserFriendRequestDto.cs", "C#", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Users\UserHoverCardResponse.cs", "C#", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DependencyInjection.cs", "C#", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Friend\Commands\AcceptFriendRequest\AcceptFriendRequestCommand.cs", "C#", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Friend\Commands\AcceptFriendRequest\AcceptFriendRequestCommandHandler.cs", "C#", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 15, 102
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Friend\Commands\CancelFriendRequest\CancelFriendRequestCommand.cs", "C#", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Friend\Commands\CancelFriendRequest\CancelFriendRequestCommandHandler.cs", "C#", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 45
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Friend\Commands\RejectFriendRequest\RejectFriendRequestCommand.cs", "C#", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Friend\Commands\RejectFriendRequest\RejectFriendRequestCommandHandler.cs", "C#", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 71
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Friend\Commands\SendFriendRequest\SendFriendRequestCommand.cs", "C#", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Friend\Commands\SendFriendRequest\SendFriendRequestCommandHandler.cs", "C#", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12, 91
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Friend\Commands\SyncAllFriends\SyncAllFriendsCommand.cs", "C#", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Friend\Commands\SyncAllFriends\SyncAllFriendsCommandHandler.cs", "C#", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 72
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Friend\Commands\Unfriend\UnfriendCommand.cs", "C#", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Friend\Commands\Unfriend\UnfriendCommandHandler.cs", "C#", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 81
